;; ;;Palgainfo;;;Ettevõtete arv;;;;Töötajatega ettevõtete arv  ;;;Käibemaksuinfo;;;;Tööjõumaksud;
KUU;MAAKOND;KOHALIK OMAVALITSUS;TEGEVUSALA;Keskmine palk sellel tegevusalal omavalitsuse territooriumil tegutsevates ettevõtetes (eurodes);Keskmine palk Eestis (eurodes);Keskmine palk sellel tegevusalal (eurodes);Juriidiliste isikute arv omavalitsuses;Tegutsevate ettevõtete arv omavalitsuses;Tegutsevate ettevõtete arv Eestis;Tegutsevate ettevõtete arv sellel tegevusalal  ;Töötajatega ettevõtete arv omavalitsuses;Töötajatega ettevõtete arv Eestis;Töötajatega ettevõtete arv sellel tegevusalal Eestis;Deklaratsiooni KMD esitavate juriidiliste isikute arv omavalitsuses;Käive kokku (eurodes);Eksport  (eurodes);Tasumisele kuuluv käibemaks (eurodes);Omavalitsuse tööandjate deklaratsioonis TSD märgitud töötajate arv;Omavalitsuse tööandjate  deklareeritud tööjõumaksud (eurodes)
1;Harju maakond;ANIJA VALD;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1652;1987;1508;68;20;93709;3856;14;61219;2714;38;971380;0;100203;40;35192
1;Harju maakond;ANIJA VALD;MÄETÖÖSTUS;;1987;2043;1;;93709;122;;61219;101;0;0;0;0;;
1;Harju maakond;ANIJA VALD;TÖÖTLEV TÖÖSTUS;1613;1987;1689;75;37;93709;7120;30;61219;5613;50;5952697;640907;-373326;603;486543
1;Harju maakond;ANIJA VALD;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;1230;1987;2532;8;4;93709;661;1;61219;172;4;232675;0;12000;2;839
1;Harju maakond;ANIJA VALD;EHITUS;1197;1987;1696;105;48;93709;11688;38;61219;9059;59;429299;0;22911;87;42311
1;Harju maakond;ANIJA VALD;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1091;1987;1678;101;40;93709;16421;27;61219;10798;54;765912;0;20490;76;34030
1;Harju maakond;ANIJA VALD;VEONDUS JA LAONDUS;1047;1987;1733;38;20;93709;5322;13;61219;4051;26;208515;0;-1905;26;10516
1;Harju maakond;ANIJA VALD;MAJUTUS JA TOITLUSTUS;731;1987;1286;34;10;93709;3159;7;61219;2443;15;92958;0;7;18;3773
1;Harju maakond;ANIJA VALD;INFO JA SIDE;1582;1987;3378;36;8;93709;7933;6;61219;3479;15;48462;0;2480;9;5463
1;Harju maakond;ANIJA VALD;FINANTS- JA KINDLUSTUSTEGEVUS;1707;1987;2920;9;2;93709;1066;2;61219;730;3;17119;0;15;2;1804
1;Harju maakond;ANIJA VALD;KINNISVARAALANE TEGEVUS;2007;1987;1417;49;12;93709;6953;8;61219;2934;15;141132;0;5726;14;12182
1;Harju maakond;ANIJA VALD;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;1335;1987;2330;73;19;93709;14046;14;61219;7988;22;45008;0;2472;15;6844
1;Harju maakond;ANIJA VALD;HALDUS- JA ABITEGEVUSED;1227;1987;1848;51;12;93709;5185;9;61219;3243;13;427352;2000;74060;26;15558
1;Harju maakond;ANIJA VALD;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1460;1987;2215;2;;93709;;;61219;;0;0;0;0;311;232213
1;Harju maakond;ANIJA VALD;HARIDUS;725;1987;2265;27;;93709;1420;;61219;998;1;0;0;0;1;280
1;Harju maakond;ANIJA VALD;TERVISHOID JA SOTSIAALHOOLEKANNE;2830;1987;2673;7;2;93709;1715;2;61219;1613;0;0;0;0;17;20416
1;Harju maakond;ANIJA VALD;KUNST, MEELELAHUTUS JA VABA AEG;1135;1987;1652;86;7;93709;2338;5;61219;1376;10;41786;0;834;26;10389
1;Harju maakond;ANIJA VALD;MUUD TEENINDAVAD TEGEVUSED;1087;1987;1365;93;14;93709;4429;12;61219;3685;8;50106;0;5894;25;10272
1;Harju maakond;ANIJA VALD;Tegevusala määramata;;1987;1712;3;;93709;14;;61219;9;0;0;0;0;;
1;Harju maakond;HARKU VALD;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1499;1987;1508;61;17;93709;3856;12;61219;2714;18;698375;0;19755;37;28240
1;Harju maakond;HARKU VALD;MÄETÖÖSTUS;2164;1987;2043;7;4;93709;122;3;61219;101;5;123560;0;-845;30;34630
1;Harju maakond;HARKU VALD;TÖÖTLEV TÖÖSTUS;1869;1987;1689;216;93;93709;7120;65;61219;5613;119;9062975;854304;-145564;912;878089
1;Harju maakond;HARKU VALD;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;820;1987;2532;10;7;93709;661;1;61219;172;7;243067;0;956;1;465
